Full Address,Current Location,Associated Vehicle,Current LocationIDs,Associated Vehicle IDs
"22572 Toreador Drive, Salinas, CA 93908",4OIZDFEAKLX2DD0ZU;0GYJJXBC0WQ84UFEY;YNRSGP1L9CI206S7M;0MP5WN3PSOBMA0XM0;MZ20M1GPWMWT1QJG0;JI4NKG7VDVECX3T1E,4OIZDFEAKLX2DD0ZU;0GYJJXBC0WQ84UFEY;YNRSGP1L9CI206S7M;0MP5WN3PSOBMA0XM0;MZ20M1GPWMWT1QJG0;JI4NKG7VDVECX3T1E,10676569740;10676618893;10676631916;10677742855;10676836368;10677717157,10676569740;10676618893;10676631916;10677742855;10676836368;10677717157
"629 Debbie Drive, Nashville, TN 37076",OYNT2WJTQIXO9HT1T;W09ESDFFWHLFNX5L7;BLUF9MHLP1HHG415T;0DQOWOCGAYS3DR4RI;30DG6Q2U8M4E7Y39X;PF1ITKPQT7AXWD9F4;U2BQ2R25WBWWUFW63;708N30ESUGKHO2DB5;CPDYOU9RBH8TD2WNG;VQVQ1XJXBHBSSM045,OYNT2WJTQIXO9HT1T;W09ESDFFWHLFNX5L7;BLUF9MHLP1HHG415T;0DQOWOCGAYS3DR4RI;30DG6Q2U8M4E7Y39X;PF1ITKPQT7AXWD9F4;U2BQ2R25WBWWUFW63;708N30ESUGKHO2DB5;CPDYOU9RBH8TD2WNG;VQVQ1XJXBHBSSM045,10677562519;10676741422;10677720726;10677765443;10676670830;10676836372;10677526876;10676618892;10676775050;10677775133,10677562519;10676741422;10677720726;10677765443;10676670830;10676836372;10677526876;10676618892;10676775050;10677775133
"5461 West Shades Valley Drive, Montgomery, AL 36108",ZGI2SHI371J7L6F9Z;6XFCRMTJB2BKOM0HJ;LZYTFCCOUZCBVMHHJ;ZZ8Y206W4GPSV2H8O;BKC9SSR4Y9LXKSPEL;LULKNEW7JIOZIZVGG;VDNP0ICQKEV6N8CZG;BV6YE480E60GJGV1D;EOLTPAU09VOJP0QOL;K39QOKFFYDBZCJJO9,ZGI2SHI371J7L6F9Z;6XFCRMTJB2BKOM0HJ;LZYTFCCOUZCBVMHHJ;ZZ8Y206W4GPSV2H8O;BKC9SSR4Y9LXKSPEL;LULKNEW7JIOZIZVGG;VDNP0ICQKEV6N8CZG;BV6YE480E60GJGV1D;EOLTPAU09VOJP0QOL;K39QOKFFYDBZCJJO9,10676575809;10676910159;10677726638;10677830292;10676618894;10677655310;10677676109;10677636949;10677720720;10677562516,10676575809;10676910159;10677726638;10677830292;10676618894;10677655310;10677676109;10677636949;10677720720;10677562516
"1649 Timberridge Court, Fayetteville, AR 72704",MLGYP2J03CSERDSAN;ETU0Q7IHJ46PEW733;NAQCULMD1Q0SB6PK8;H6I9D4UI6BI7IEEQ1;FNLHQS9A4CL84DNFE;KKGSMY7O1IPCMZ5ZE;LQC0L43ISD4CFODJP;R943YAUC4LK748NSR;A3MEHXRATUNJIXLHT;WPE50JKMP6G2MD5CK,MLGYP2J03CSERDSAN;ETU0Q7IHJ46PEW733;NAQCULMD1Q0SB6PK8;H6I9D4UI6BI7IEEQ1;FNLHQS9A4CL84DNFE;KKGSMY7O1IPCMZ5ZE;LQC0L43ISD4CFODJP;R943YAUC4LK748NSR;A3MEHXRATUNJIXLHT;WPE50JKMP6G2MD5CK,10676826971;10676826972;10676846633;10677744162;10677614196;10677804941;10677636966;10677866758;10676631917;10677775128,10676826971;10676826972;10676846633;10677744162;10677614196;10677804941;10677636966;10677866758;10676631917;10677775128
"314 South 17th Street, Nashville, TN 37206",1I22OESJBDF47EIV4;ULUMFGNT2UY6ESDCM;Y9YGRZ4PQ2Z1GJVVZ;Z0K3GP9U38U8QJEIB;5FRCBKKHB9UYAI9XH;2QN6YCGXY2IP8V7JM,1I22OESJBDF47EIV4;ULUMFGNT2UY6ESDCM;Y9YGRZ4PQ2Z1GJVVZ;Z0K3GP9U38U8QJEIB;5FRCBKKHB9UYAI9XH;2QN6YCGXY2IP8V7JM,10676613161;10676681227;10677752716;10676569739;10676826969;10676618906,10676613161;10676681227;10677752716;10676569739;10676826969;10676618906
"4 Old Colony Way, Yarmouth, MA 02664",CJ3CI3MJR4CUIVSMQ;JV9GAI41C16DYUXAJ;CDOUBJSBAGM2APT6Y;KZ3N96HAAN6L6CWFV;3A9U8D0TNIOAQUPNL;HLBNK68Z47NNA1CEO;LZ5PSYLKOJTUFH6CY;0E41HCN22ZKFES8JQ;7ONL0H81E5WKVCKAD;H6RM7SC92WW8QIWM9,CJ3CI3MJR4CUIVSMQ;JV9GAI41C16DYUXAJ;CDOUBJSBAGM2APT6Y;KZ3N96HAAN6L6CWFV;3A9U8D0TNIOAQUPNL;HLBNK68Z47NNA1CEO;LZ5PSYLKOJTUFH6CY;0E41HCN22ZKFES8JQ;7ONL0H81E5WKVCKAD;H6RM7SC92WW8QIWM9,10677587627;10677668703;10676583730;10677702829;10677631558;10676836375;10677684127;10676836378;10677661853;10677702830,10677587627;10677668703;10676583730;10677702829;10677631558;10676836375;10677684127;10676836378;10677661853;10677702830
"60 Desousa Drive, Manchester, CT 06040",FY2X9R0JCBVETIYMQ;FOC4WA327HS9QN1LN;KDVO62IJ8L55UVV45;5EODSFPF1J1RCMIII;M0C9DI448E8KRK9C9;ORYFQXTUWJTP31BPT;I0O3XYD1DNGPXIIB0,FY2X9R0JCBVETIYMQ;FOC4WA327HS9QN1LN;KDVO62IJ8L55UVV45;5EODSFPF1J1RCMIII;M0C9DI448E8KRK9C9;ORYFQXTUWJTP31BPT;I0O3XYD1DNGPXIIB0,10677866759;10676732260;10677720722;10676681228;10676784816;10676676231;10677742853,10677866759;10676732260;10677720722;10676681228;10676784816;10676676231;10677742853
"87 Horseshoe Drive, West Windsor, VT 05037",Z5OW26048X5OSU1DV;UOWGJUWYR1JLFCGOZ;9NGZVE7BY839AMLV5;LMZUIVO0TJ1GWCMII;9J4ERI2PCEB70WDH7;ZAYWI94JI507DC56B;32FQAI1OZRU81TQN9;TRTEE5XOS7SCJI9QH;W86QMR52HTHEVRKYW;3RR56BSJ8E5HEQUCI,Z5OW26048X5OSU1DV;UOWGJUWYR1JLFCGOZ;9NGZVE7BY839AMLV5;LMZUIVO0TJ1GWCMII;9J4ERI2PCEB70WDH7;ZAYWI94JI507DC56B;32FQAI1OZRU81TQN9;TRTEE5XOS7SCJI9QH;W86QMR52HTHEVRKYW;3RR56BSJ8E5HEQUCI,10676583725;10677726637;10676603256;10677542833;10677696330;10676637528;10676819493;10677696334;10677803779;10677542834,10676583725;10677726637;10676603256;10677542833;10677696330;10676637528;10676819493;10677696334;10677803779;10677542834
"6463 Vrain Street, Arvada, CO 80003",P72IT4OHXFEK0MBTR;TDZ0PH7B49BWUVKV9;Y6CXX8GN15SUQQ7A8;79ILLYATHGHRK6JLV;7JZE51LY60K4PUVV2;RYETS6JDWUIMBMCL5;WR9IOHKPDI1TO97H7,P72IT4OHXFEK0MBTR;TDZ0PH7B49BWUVKV9;Y6CXX8GN15SUQQ7A8;79ILLYATHGHRK6JLV;7JZE51LY60K4PUVV2;RYETS6JDWUIMBMCL5;WR9IOHKPDI1TO97H7,10676676233;10677601858;10676637530;10676613164;10676859784;10677572437;10677804945,10676676233;10677601858;10676637530;10676613164;10676859784;10677572437;10677804945
"2203 7th Street Road, Louisville, KY 40208",F9DHRXL83JDCLMGJ2;JR1YBNRI2NI38R3W0;N8NE5IGWWX3RFSJRE;K8S0WTZOEC8GAEHRS;GSPSDRYGN6ZZZLNYD;T0FSMYATRYOD2W67W,F9DHRXL83JDCLMGJ2;JR1YBNRI2NI38R3W0;N8NE5IGWWX3RFSJRE;K8S0WTZOEC8GAEHRS;GSPSDRYGN6ZZZLNYD;T0FSMYATRYOD2W67W,10677631559;10676750511;10677760084;10677508356;10677648806;10676575811,10677631559;10676750511;10677760084;10677508356;10677648806;10676575811
"8821 West Myrtle Avenue, Glendale, AZ 85305",A8HN0ZOX9HF88U8F3;RDRRPPTCS1FMU86AQ;H2RKIXGUI19VGSW1V;KGQ3LR2I2CYNCP47L;DT05ARWBVY7DQTAES;5Y7MA48ZVVT6GDSYX,A8HN0ZOX9HF88U8F3;RDRRPPTCS1FMU86AQ;H2RKIXGUI19VGSW1V;KGQ3LR2I2CYNCP47L;DT05ARWBVY7DQTAES;5Y7MA48ZVVT6GDSYX,10677747632;10677572442;10677711105;10676859786;10677782047;10677711109,10677747632;10677572442;10677711105;10676859786;10677782047;10677711109
"5403 Illinois Avenue, Nashville, TN 37209",0EPA2Y82L2RXCNMGL;MVBEPVFSCGH1H83PI;OYB39DJPX1O8PADHS;C17R53S7055JI3PGO;PQPFNBP61N1IKBQNL,0EPA2Y82L2RXCNMGL;MVBEPVFSCGH1H83PI;OYB39DJPX1O8PADHS;C17R53S7055JI3PGO;PQPFNBP61N1IKBQNL,10677711106;10677782051;10677614198;10677742852;10677804947,10677711106;10677782051;10677614198;10677742852;10677804947
"5601 West Crocus Drive, Glendale, AZ 85306",H4JZU2VWFI4QT3PQN;SJJ6J1HZC32SNOR3I;SDXM76CQJ1YM6GNGY;ERIZF9Z0631LAH5D5;W5D1GSL7RF5EYE0F7;5XBB0OOV73WQ8ZUMC;9CCCTGUS0UW70VDHC;MNE1O9K1X52U1DAU6;YSDDK85RB4TFDVBV4,H4JZU2VWFI4QT3PQN;SJJ6J1HZC32SNOR3I;SDXM76CQJ1YM6GNGY;ERIZF9Z0631LAH5D5;W5D1GSL7RF5EYE0F7;5XBB0OOV73WQ8ZUMC;9CCCTGUS0UW70VDHC;MNE1O9K1X52U1DAU6;YSDDK85RB4TFDVBV4,10677765430;10677601861;10676676227;10676603259;10677601865;10677830306;10677804944;10676603255;10676689521,10677765430;10677601861;10676676227;10676603259;10677601865;10677830306;10677804944;10676603255;10676689521
"637 Britannia Drive, Vallejo, CA 94591",EFYUQLFEQX0D61ZNH;W38RWLG2Z7OYRNRDP;2PSZDY9PMCAN4A75P;T8MRSCO6NWYPQ7E6M;24461DNDPLP4NUGCL;IQ3LIN8JLFCI3RYYE;D0O7EMRHG9V3I73JL;CE48OXWWZUTV3PWDR,EFYUQLFEQX0D61ZNH;W38RWLG2Z7OYRNRDP;2PSZDY9PMCAN4A75P;T8MRSCO6NWYPQ7E6M;24461DNDPLP4NUGCL;IQ3LIN8JLFCI3RYYE;D0O7EMRHG9V3I73JL;CE48OXWWZUTV3PWDR,10677744161;10677587615;10677830293;10676869470;10677684123;10676758099;10677782050;10676869472,10677744161;10677587615;10677830293;10676869470;10677684123;10676758099;10677782050;10676869472
"18 Densmore Drive, Essex, VT 05452",FL2WQV6RQOXBIEXAH;2VLAYMG7TWHHQDA0H;VAN0X4J54GUMXCJ0P;TM8A819ZCBGOD4TVF;9TMSEZ953R5FWLO61;6Q4FAIZZBT6TKF6JP,FL2WQV6RQOXBIEXAH;2VLAYMG7TWHHQDA0H;VAN0X4J54GUMXCJ0P;TM8A819ZCBGOD4TVF;9TMSEZ953R5FWLO61;6Q4FAIZZBT6TKF6JP,10676750505;10677747638;10676853636;10677804943;10676631911;10676750508,10676750505;10677747638;10676853636;10677804943;10676631911;10676750508
"2721 Lindsay Avenue, Louisville, KY 40206",AJLEVFUDF76NRPAYW;N2F68A21GNY8XFKAH;CVGMED72368SF721V;G46QDSRHBHV0EVNOR;YVW3SQ0E7VWJ3MKDI,AJLEVFUDF76NRPAYW;N2F68A21GNY8XFKAH;CVGMED72368SF721V;G46QDSRHBHV0EVNOR;YVW3SQ0E7VWJ3MKDI,10676569734;10676732263;10677765432;10677782065;10676796056,10676569734;10676732263;10677765432;10677782065;10676796056
"150 Carter Street, Manchester, CT 06040",UNOEM40YA5M5GEG3W;6CJ1TI0UNLYYCLWVL;EKAOEIQU7XJ00NOKK;Q81OUH31DKWD7P121;70SCZJS0XKQOVA4NG;1K8CH72VTTHDHQJDC;FYDQD4QY2GZI82F44,UNOEM40YA5M5GEG3W;6CJ1TI0UNLYYCLWVL;EKAOEIQU7XJ00NOKK;Q81OUH31DKWD7P121;70SCZJS0XKQOVA4NG;1K8CH72VTTHDHQJDC;FYDQD4QY2GZI82F44,10676784815;10677648802;10676859783;10677717158;10677702831;10676826973;10676732261,10676784815;10677648802;10676859783;10677717158;10677702831;10676826973;10676732261
"560 Penstock Drive, Grass Valley, CA 95945",7P4K2MCYQ1DHTNXON;N535SFZ64B0GS2VOM;QE7W4CRUS8ZKMJZ62;HPJMYNN9HUSOZW9S1;ZJ6ALBY1N9XTH4W7F;0WOKTCC5BVVKVWWPN,7P4K2MCYQ1DHTNXON;N535SFZ64B0GS2VOM;QE7W4CRUS8ZKMJZ62;HPJMYNN9HUSOZW9S1;ZJ6ALBY1N9XTH4W7F;0WOKTCC5BVVKVWWPN,10677782053;10677803794;10676796062;10676807727;10676775052;10676836374,10677782053;10677803794;10676796062;10676807727;10676775052;10676836374
"6007 Applegate Lane, Louisville, KY 40219",4AHOG3HY81M6ARIXJ;HSLI2DECA6YE6F2YP;NONG2PN4JVTMFX2LC;HKA149Q20LF7A9X29;4CINP1FEXSV710YFN;SYN5V53Y6R4P6PT46;CX90HZWUQX44NHMK5;22I932W15LADY5WGK;AFFS85FZM4PJ4K3KU;9YCIN2Z2N8P6USL3T,4AHOG3HY81M6ARIXJ;HSLI2DECA6YE6F2YP;NONG2PN4JVTMFX2LC;HKA149Q20LF7A9X29;4CINP1FEXSV710YFN;SYN5V53Y6R4P6PT46;CX90HZWUQX44NHMK5;22I932W15LADY5WGK;AFFS85FZM4PJ4K3KU;9YCIN2Z2N8P6USL3T,10677572438;10677601862;10677765429;10677526880;10677775129;10677804959;10676942432;10676732265;10676750506;10677601863,10677572438;10677601862;10677765429;10677526880;10677775129;10677804959;10676942432;10676732265;10676750506;10677601863
"1745 T Street Southeast, Washington, DC 20020",SWZQ7ZT15QIFGF1G9;ZYIWDL1VQ568GH3Z5;OXVQJOTZYKQOISQM4;TC8YHQ9J9M64YMRB5;V7GZ35JKONZI9YOO0;WNRHE7FFN15TM2JJS,SWZQ7ZT15QIFGF1G9;ZYIWDL1VQ568GH3Z5;OXVQJOTZYKQOISQM4;TC8YHQ9J9M64YMRB5;V7GZ35JKONZI9YOO0;WNRHE7FFN15TM2JJS,10677689938;10676732258;10676846634;10676575807;10677648804;10677742851,10677689938;10676732258;10676846634;10676575807;10677648804;10677742851
